Summary,Issue Type,Description,Epic Link,Priority,Story Points,Labels,Acceptance Criteria
"US-1: User Login with Role-Based Access",Story,"As an HR_ADMIN or HR_RECRUITER, I want to log in with my credentials so that I can access system features based on my role.",EPIC-CV-01,Highest,8,"HR_ADMIN,HR_RECRUITER,Sprint-1","User can enter email and password | System validates credentials | JWT token generated on success | User redirected to appropriate dashboard | HR_ADMIN sees admin features | HR_RECRUITER sees recruiter features | Invalid credentials show error | Session expires after 30 min inactivity"
"US-2: Upload Multiple CV Files",Story,"As an HR_RECRUITER, I want to upload multiple CV files so that I can evaluate candidates efficiently.",EPIC-CV-02,Highest,13,"HR_RECRUITER,Sprint-1","Drag-and-drop file upload working | Support PDF TXT DOCX formats | Upload up to 50 files simultaneously | Progress indicator shown | Success/failure message per file | Files stored in storage/cvs/ | Metadata saved to database | Invalid files rejected with message"
"US-3: Parse CV Content",Story,"As an HR_RECRUITER, I want the system to automatically extract skills, experience, and education from CVs so that I don't have to manually enter data.",EPIC-CV-02,Highest,13,"HR_RECRUITER,Sprint-1","Extract candidate name | Extract email and phone | Identify skills from text | Extract years of experience | Parse education (degree institution) | Match skills to taxonomy | Parsing time < 5 seconds per CV | Accuracy > 85% | Handle missing data gracefully"
"US-4: Create Job Position",Story,"As an HR_RECRUITER, I want to create job positions with required skills and experience so that I can match candidates.",EPIC-CV-03,High,8,"HR_RECRUITER,Sprint-1","Form to create job position | Fields: title description location | Add required skills (multi-select) | Add preferred skills (multi-select) | Set experience requirement (years) | Set education requirement | Save to database | View created job in jobs list"
"US-5: Rank Candidates for Job",Story,"As an HR_RECRUITER, I want to see candidates ranked by match score for a job position so that I can prioritize interviews.",EPIC-CV-04,Highest,13,"HR_RECRUITER,Sprint-2","Select job position | Click Run Ranking button | System calculates match scores | Candidates sorted by score (high to low) | Display match percentage | Show matching skills | Show missing skills | Calculation time < 3 seconds"
"US-6: View Top Skills Report",Story,"As an HR_ADMIN, I want to see a report of top skills frequency per job so that I can understand hiring trends.",EPIC-CV-05,Medium,8,"HR_ADMIN,Sprint-2","Navigate to Reports section | Select Top Skills report | Choose date range | Display bar chart of skills | Show count per skill | Filter by job position | Export to PDF/CSV | Report generates < 5 seconds"
"US-7: View Candidate Pipeline Statistics",Story,"As an HR_ADMIN, I want to view candidate pipeline statistics so that I can monitor recruitment efficiency.",EPIC-CV-05,Medium,8,"HR_ADMIN,Sprint-2","Display total candidates | Show candidates by stage (screening interview offer hired) | Display funnel chart | Show conversion rates | Display average time-to-hire | Filter by date range | Export to PDF"
"US-8: View Audit Logs",Story,"As an HR_ADMIN, I want to view audit logs of all system activities so that I can ensure compliance and troubleshoot issues.",EPIC-CV-06,Medium,5,"HR_ADMIN,Sprint-2","Display all logged activities | Show timestamp user action details | Filter by user | Filter by date range | Filter by action type | Search functionality | Paginated results (50 per page) | Export to CSV"
"US-9: Navigate Dashboard",Story,"As an HR_RECRUITER, I want a dashboard showing recent activities and quick actions so that I can work efficiently.",EPIC-CV-07,Medium,5,"HR_RECRUITER,Sprint-2","Display recent CV uploads | Show active job positions | Display pending tasks | Quick action buttons (Upload CV Create Job) | Recent rankings | Responsive layout | Load time < 2 seconds"
"US-10: Manage Users (Admin Only)",Story,"As an HR_ADMIN, I want to create, edit, and deactivate users so that I can control system access.",EPIC-CV-01,Medium,8,"HR_ADMIN,Sprint-2","View all users list | Create new user (email name role) | Edit user details | Deactivate user account | Assign roles (ADMIN RECRUITER) | Only HR_ADMIN can access | Password sent to new user email"
